id;previous_status;new_status;reason;changed_by;changed_at;booking_id
1;PENDING_PAYMENT;CANCELLED;independence;c30825ff-60d3-4039-8bfb-5326b7eda7f0;2025-09-14T11:27:28;1
2;PENDING_PAYMENT;DRAFT;despite wrong;6a3c2316-ebe4-4ba0-bf86-88d3790ef7b0;2025-09-13T22:08:10;2
3;CONFIRMED;PENDING_PAYMENT;beep silently westernize;c8f771ea-dee7-44be-bc49-5631b34cda3f;2025-09-14T08:10:10;3
4;REFUNDED;DRAFT;cheerfully but odd;5c7ac01d-8e90-49f7-9ac9-b22a9c0d174a;2025-09-14T06:27:59;4
5;CONFIRMED;REFUNDED;though promptly gadzooks;45255150-ec5c-43bb-afdd-750c49724870;2025-09-14T08:59:23;5
6;REFUNDED;CHECKED_IN;pish chilly;82415ab7-15bc-4492-ad1d-808cf3f3a2f2;2025-09-13T21:10:47;6
7;CHECKED_IN;DRAFT;emphasise tensely;110120be-cf49-4329-aa05-2632d0b2d96b;2025-09-14T01:07:03;7
8;COMPLETED;CANCELLED;continually baritone;645684d9-b840-461c-a949-0ee59742e5d1;2025-09-14T08:12:24;8
9;CANCELLED;REFUNDED;beneath gleefully;26d381fa-f31a-485f-8137-66f507264988;2025-09-13T13:01:22;9
10;COMPLETED;DRAFT;um;fd75590d-b2f3-4523-9563-1493d814d179;2025-09-13T17:21:05;10
